852,穿,1482,0.0155
853,忙,1479,0.0155
854,帝国主义,1478,0.0155
855,明白,1477,0.0155
856,线,1477,0.0155
857,巨大,1475,0.0154
858,生物,1474,0.0154
859,部队,1473,0.0154
860,越,1468,0.0154
861,职工,1467,0.0154
862,新闻,1462,0.0153
863,行动,1462,0.0153
864,女,1461,0.0153
865,民主,1460,0.0153
866,忽然,1459,0.0153
867,舞蹈,1456,0.0152
868,马,1455,0.0152
869,数量,1455,0.0152
870,活,1455,0.0152
871,发出,1453,0.0152
872,资源,1450,0.0152
873,电子,1450,0.0152
874,作出,1450,0.0152
875,讨论,1447,0.0151
876,分之,1447,0.0151
877,深,1446,0.0151
878,黑,1446,0.0151
879,子,1446,0.0151
880,物体,1444,0.0151
881,资料,1441,0.0151
882,出去,1437,0.015
883,中央,1436,0.015
884,想到,1433,0.015
885,加,1432,0.015
886,意识,1431,0.015
887,观念,1429,0.015
888,道德,1429,0.015
889,设备,1429,0.015
890,来到,1428,0.0149
891,厂,1427,0.0149
892,广泛,1426,0.0149
893,共,1424,0.0149
894,投资,1422,0.0149
895,实际上,1419,0.0148
896,公司,1415,0.0148
897,无法,1414,0.0148
898,质,1412,0.0148
899,余,1412,0.0148
900,封建,1411,0.0148
901,现代化,1411,0.0148
902,报告,1408,0.0147
903,随,1407,0.0147
904,拉,1404,0.0147
905,老师,1403,0.0147
906,制,1403,0.0147
907,入,1401,0.0147
908,妇女,1401,0.0147
909,先进,1399,0.0146
910,故,1399,0.0146
911,号,1397,0.0146
912,喜欢,1396,0.0146
913,下面,1395,0.0146
914,底,1395,0.0146
915,算,1392,0.0146
916,达,1390,0.0145
917,改造,1386,0.0145
918,分配,1386,0.0145
919,教学,1382,0.0145
920,主张,1379,0.0144
921,儿子,1378,0.0144
922,爸爸,1375,0.0144
923,每个,1374,0.0144
924,不但,1373,0.0144
925,前面,1371,0.0143
926,其它,1371,0.0143
927,训练,1368,0.0143
928,平衡,1367,0.0143
929,执行,1360,0.0142
930,位置,1360,0.0142
931,支,1359,0.0142
932,不好,1356,0.0142
933,逐步,1355,0.0142
934,安排,1348,0.0141
935,此外,1347,0.0141
936,认真,1345,0.0141
937,一片,1345,0.0141
938,在于,1343,0.0141
939,某种,1339,0.014
940,道路,1335,0.014
941,正常,1334,0.014
942,以下,1334,0.014
943,著名,1333,0.0139
944,区别,1333,0.0139
945,听到,1332,0.0139
946,本质,1330,0.0139
947,送,1329,0.0139
948,期,1328,0.0139
949,很快,1325,0.0139
950,县,1324,0.0139
951,角,1322,0.0138
952,明确,1322,0.0138
953,军事,1321,0.0138
954,中间,1319,0.0138
955,更加,1319,0.0138
956,尤其,1317,0.0138
957,曾经,1317,0.0138
958,市,1315,0.0138
959,支持,1313,0.0137
960,称,1313,0.0137
961,朋友,1310,0.0137
962,并不是,1309,0.0137
963,也许,1308,0.0137
964,状况,1308,0.0137
965,工具,1308,0.0137
966,强调,1306,0.0137
967,开展,1304,0.0136
968,超过,1302,0.0136
969,无论,1302,0.0136
970,其实,1301,0.0136
971,伟大,1301,0.0136
972,里面,1299,0.0136
973,这儿,1299,0.0136
974,找到,1297,0.0136
975,商业,1297,0.0136
976,提,1295,0.0136
977,带来,1294,0.0135
978,一致,1293,0.0135
979,举行,1291,0.0135
980,九,1290,0.0135
981,小时,1290,0.0135
982,表明,1289,0.0135
983,山,1289,0.0135
984,集体,1289,0.0135
985,尽管,1287,0.0135
986,分为,1284,0.0134
987,那是,1283,0.0134
988,通常,1281,0.0134
989,体系,1280,0.0134
990,立即,1280,0.0134
991,祖国,1280,0.0134
992,机关,1280,0.0134
993,么,1277,0.0134
994,意思,1274,0.0133
995,晚上,1274,0.0133
996,原子,1273,0.0133
997,教授,1271,0.0133
998,检查,1270,0.0133
999,回到,1266,0.0132
1000,这位,1264,0.0132
1001,限制,1262,0.0132
1002,权利,1257,0.0132
1003,感觉,1252,0.0131
1004,相对,1251,0.0131
1005,离,1250,0.0131
1006,解放,1250,0.0131
1007,短,1250,0.0131
1008,船,1248,0.0131
1009,有效,1247,0.013
1010,古代,1247,0.013
1011,去年,1245,0.013
1012,相信,1243,0.013
1013,朝,1242,0.013
1014,三十,1240,0.013
1015,转,1240,0.013
1016,眼,1239,0.013
1017,全面,1239,0.013
1018,收入,1237,0.0129
1019,取,1230,0.0129
1020,机会,1230,0.0129
1021,观众,1229,0.0129
1022,法国,1227,0.0128
1023,她们,1227,0.0128
1024,初,1223,0.0128
1025,处于,1222,0.0128
1026,马上,1219,0.0128
1027,周围,1217,0.0127
1028,调节,1216,0.0127
1029,李,1215,0.0127
1030,转化,1214,0.0127
1031,密切,1214,0.0127
1032,习惯,1211,0.0127
1033,群,1209,0.0127
1034,至于,1209,0.0127
1035,性格,1207,0.0126
1036,系,1205,0.0126
1037,工厂,1205,0.0126
1038,国,1203,0.0126
1039,鱼,1202,0.0126
1040,面积,1200,0.0126
1041,留,1200,0.0126
1042,宗教,1199,0.0125
1043,调整,1198,0.0125
1044,实在,1197,0.0125
1045,领域,1197,0.0125
1046,机构,1196,0.0125
1047,表,1195,0.0125
1048,度,1195,0.0125
1049,哩,1195,0.0125
1050,故事,1194,0.0125
1051,有着,1193,0.0125
1052,女人,1189,0.0124
1053,差,1188,0.0124
1054,火,1188,0.0124
1055,唱,1186,0.0124
1056,综合,1186,0.0124
1057,另外,1186,0.0124
1058,汽车,1186,0.0124
1059,降低,1183,0.0124
1060,恢复,1183,0.0124
1061,不敢,1183,0.0124
1062,团,1182,0.0124
1063,国民经济,1182,0.0124
1064,脚,1182,0.0124
1065,求,1181,0.0124
1066,生产力,1180,0.0123
1067,型,1179,0.0123
1068,好象,1179,0.0123
1069,每天,1178,0.0123
1070,符合,1178,0.0123
1071,同学,1177,0.0123
1072,体现,1176,0.0123
1073,批,1172,0.0123
1074,形态,1170,0.0122
1075,宣传,1169,0.0122
1076,哭,1167,0.0122
1077,深入,1167,0.0122
1078,毛泽东,1165,0.0122
1079,哲学,1165,0.0122
1080,看来,1163,0.0122
1081,大学,1161,0.0121
1082,片,1159,0.0121
1083,比例,1159,0.0121
1084,欧洲,1158,0.0121
1085,越来越,1158,0.0121
1086,制造,1156,0.0121
1087,作家,1155,0.0121
1088,马克思主义,1155,0.0121
1089,西,1154,0.0121
1090,倍,1152,0.0121
1091,本来,1150,0.012
1092,组,1150,0.012
